"시점","현황별(1)","현황별(2)",투자현황별(1),데이터
"2021","전체","소계",기업수 (개),1055
"2021","전체","소계",응답기업수 (개),1023
"2021","전체","소계",기업 연구개발비 (백만원),5783435
"2021","전체","소계",기업 시설투자비 (백만원),1177623
"2021","전체","소계",기업 전체투자비 (백만원),6961058
"2021","전체","소계",바이오 연구개발비 (백만원),2270466
"2021","전체","소계",바이오 시설투자비 (백만원),797402
"2021","전체","소계",바이오 전체투자비 (백만원),3067868
"2021","주력업종별","바이오 의약",기업수 (개),333
"2021","주력업종별","바이오 의약",응답기업수 (개),310
"2021","주력업종별","바이오 의약",기업 연구개발비 (백만원),2823693
"2021","주력업종별","바이오 의약",기업 시설투자비 (백만원),393525
"2021","주력업종별","바이오 의약",기업 전체투자비 (백만원),3217218
"2021","주력업종별","바이오 의약",바이오 연구개발비 (백만원),1533702
"2021","주력업종별","바이오 의약",바이오 시설투자비 (백만원),288901
"2021","주력업종별","바이오 의약",바이오 전체투자비 (백만원),1822603
"2021","주력업종별","바이오 화학·에너지",기업수 (개),201
"2021","주력업종별","바이오 화학·에너지",응답기업수 (개),200
"2021","주력업종별","바이오 화학·에너지",기업 연구개발비 (백만원),2131264
"2021","주력업종별","바이오 화학·에너지",기업 시설투자비 (백만원),136314
"2021","주력업종별","바이오 화학·에너지",기업 전체투자비 (백만원),2267578
"2021","주력업종별","바이오 화학·에너지",바이오 연구개발비 (백만원),171532
"2021","주력업종별","바이오 화학·에너지",바이오 시설투자비 (백만원),42725
"2021","주력업종별","바이오 화학·에너지",바이오 전체투자비 (백만원),214257
"2021","주력업종별","바이오 식품",기업수 (개),175
"2021","주력업종별","바이오 식품",응답기업수 (개),173
"2021","주력업종별","바이오 식품",기업 연구개발비 (백만원),193172
"2021","주력업종별","바이오 식품",기업 시설투자비 (백만원),59012
"2021","주력업종별","바이오 식품",기업 전체투자비 (백만원),252184
"2021","주력업종별","바이오 식품",바이오 연구개발비 (백만원),121053
"2021","주력업종별","바이오 식품",바이오 시설투자비 (백만원),31315
"2021","주력업종별","바이오 식품",바이오 전체투자비 (백만원),152368
"2021","주력업종별","바이오 환경",기업수 (개),62
"2021","주력업종별","바이오 환경",응답기업수 (개),60
"2021","주력업종별","바이오 환경",기업 연구개발비 (백만원),25505
"2021","주력업종별","바이오 환경",기업 시설투자비 (백만원),7657
"2021","주력업종별","바이오 환경",기업 전체투자비 (백만원),33162
"2021","주력업종별","바이오 환경",바이오 연구개발비 (백만원),14103
"2021","주력업종별","바이오 환경",바이오 시설투자비 (백만원),5637
"2021","주력업종별","바이오 환경",바이오 전체투자비 (백만원),19740
"2021","주력업종별","바이오 의료기기",기업수 (개),109
"2021","주력업종별","바이오 의료기기",응답기업수 (개),106
"2021","주력업종별","바이오 의료기기",기업 연구개발비 (백만원),288690
"2021","주력업종별","바이오 의료기기",기업 시설투자비 (백만원),268007
"2021","주력업종별","바이오 의료기기",기업 전체투자비 (백만원),556697
"2021","주력업종별","바이오 의료기기",바이오 연구개발비 (백만원),187851
"2021","주력업종별","바이오 의료기기",바이오 시설투자비 (백만원),116216
"2021","주력업종별","바이오 의료기기",바이오 전체투자비 (백만원),304067
"2021","주력업종별","바이오 장비 및 기기",기업수 (개),55
"2021","주력업종별","바이오 장비 및 기기",응답기업수 (개),54
"2021","주력업종별","바이오 장비 및 기기",기업 연구개발비 (백만원),29507
"2021","주력업종별","바이오 장비 및 기기",기업 시설투자비 (백만원),9160
"2021","주력업종별","바이오 장비 및 기기",기업 전체투자비 (백만원),38667
"2021","주력업종별","바이오 장비 및 기기",바이오 연구개발비 (백만원),22672
"2021","주력업종별","바이오 장비 및 기기",바이오 시설투자비 (백만원),9160
"2021","주력업종별","바이오 장비 및 기기",바이오 전체투자비 (백만원),31832
"2021","주력업종별","바이오 자원",기업수 (개),15
"2021","주력업종별","바이오 자원",응답기업수 (개),15
"2021","주력업종별","바이오 자원",기업 연구개발비 (백만원),40132
"2021","주력업종별","바이오 자원",기업 시설투자비 (백만원),1348
