"시점","투자현황별(1)","현황별(1)",현황별(2),데이터
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 의약,1847134
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,2599100
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 식품,277089
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 환경,27087
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,67432
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,51098
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 자원,64232
"2016","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,82055
"2016","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,161225
"2016","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,439923
"2016","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,617468
"2016","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,3796611
"2016","기업 연구개발비 (백만원)","총 종사자규모별",미상,0
"2016","기업 연구개발비 (백만원)","지역별",서울,324940
"2016","기업 연구개발비 (백만원)","지역별",부산,5314
"2016","기업 연구개발비 (백만원)","지역별",인천,423847
"2016","기업 연구개발비 (백만원)","지역별",대구,90245
"2016","기업 연구개발비 (백만원)","지역별",광주,793
"2016","기업 연구개발비 (백만원)","지역별",대전,295801
"2016","기업 연구개발비 (백만원)","지역별",울산,75024
"2016","기업 연구개발비 (백만원)","지역별",세종,41685
"2016","기업 연구개발비 (백만원)","지역별",경기,3261117
"2016","기업 연구개발비 (백만원)","지역별",강원,47752
"2016","기업 연구개발비 (백만원)","지역별",충북,230889
"2016","기업 연구개발비 (백만원)","지역별",충남,86326
"2016","기업 연구개발비 (백만원)","지역별",전북,102067
"2016","기업 연구개발비 (백만원)","지역별",전남,5468
"2016","기업 연구개발비 (백만원)","지역별",경북,4877
"2016","기업 연구개발비 (백만원)","지역별",경남,14421
"2016","기업 연구개발비 (백만원)","지역별",제주,4661
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1045478
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,113666
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,104276
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,9152
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,56086
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,11953
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,22263
"2016","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,48925
"2016","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,103837
"2016","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,341422
"2016","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,343688
"2016","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,622852
"2016","바이오 연구개발비 (백만원)","총 종사자규모별",미상,0
"2016","바이오 연구개발비 (백만원)","지역별",서울,144095
"2016","바이오 연구개발비 (백만원)","지역별",부산,5104
"2016","바이오 연구개발비 (백만원)","지역별",인천,423058
"2016","바이오 연구개발비 (백만원)","지역별",대구,2727
"2016","바이오 연구개발비 (백만원)","지역별",광주,503
"2016","바이오 연구개발비 (백만원)","지역별",대전,94727
"2016","바이오 연구개발비 (백만원)","지역별",울산,34342
"2016","바이오 연구개발비 (백만원)","지역별",세종,24887
"2016","바이오 연구개발비 (백만원)","지역별",경기,390198
"2016","바이오 연구개발비 (백만원)","지역별",강원,36456
"2016","바이오 연구개발비 (백만원)","지역별",충북,149815
"2016","바이오 연구개발비 (백만원)","지역별",충남,24812
"2016","바이오 연구개발비 (백만원)","지역별",전북,64890
"2016","바이오 연구개발비 (백만원)","지역별",전남,3850
"2016","바이오 연구개발비 (백만원)","지역별",경북,3627
"2016","바이오 연구개발비 (백만원)","지역별",경남,4358
"2016","바이오 연구개발비 (백만원)","지역별",제주,4350
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 의약,1928410
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,2621612
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 식품,321731
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 환경,28318
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,74221
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,57319
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 자원,57494
"2017","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,54354
"2017","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,180137
"2017","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,467176
"2017","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,634238
"2017","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,3861908
"2017","기업 연구개발비 (백만원)","총 종사자규모별",미상,0
"2017","기업 연구개발비 (백만원)","지역별",서울,273020
