"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"15 - 19技","15技",8,5,6,6,4
"15 - 19技","16技",15,20,14,8,9
"15 - 19技","17技",36,38,18,22,19
"15 - 19技","18技",101,77,61,48,50
"15 - 19技","19技",146,115,81,65,54
"15 - 19技","20技",70,60,39,30,27
"15 - 19技","21技",26,21,25,14,19
"15 - 19技","22技",23,14,9,8,11
"15 - 19技","23技",11,7,8,9,1
"15 - 19技","24技",11,7,5,6,6
"15 - 19技","25技",4,3,3,2,1
"15 - 19技","26技",6,5,3,0,0
"15 - 19技","27技",0,2,2,1,2
"15 - 19技","28技",0,1,3,1,0
"15 - 19技","29技",2,2,1,0,2
"15 - 19技","30技",2,0,1,0,2
"15 - 19技","31技",1,0,0,0,0
"15 - 19技","32技",2,1,0,0,0
"15 - 19技","33技",0,0,1,1,1
"15 - 19技","34技",1,2,0,0,1
"15 - 19技","35技",1,0,0,1,0
"15 - 19技","36技",0,0,1,0,0
"15 - 19技","37技",0,0,0,0,0
"15 - 19技","38技",1,0,0,0,0
"15 - 19技","39技",0,0,0,0,0
"15 - 19技","40 - 44技",0,1,1,1,0
"15 - 19技","45 - 49技",0,1,0,0,0
"15 - 19技","50 - 54技",0,0,0,0,0
"15 - 19技","55 - 59技",0,0,0,0,0
"15 - 19技","60 - 64技",0,0,0,0,0
"15 - 19技","65 - 69技",0,0,0,0,0
"15 - 19技","70 - 74技",0,0,0,0,0
"15 - 19技","75技捞惑",0,0,0,0,0
"20技","15技",0,3,2,1,0
"20技","16技",6,2,3,3,0
"20技","17技",8,8,8,2,3
"20技","18技",39,33,21,16,13
"20技","19技",84,62,59,54,33
"20技","20技",128,77,72,67,69
"20技","21技",61,54,41,37,31
"20技","22技",29,31,12,16,20
"20技","23技",15,11,14,8,11
"20技","24技",13,11,9,9,5
"20技","25技",2,10,6,3,7
"20技","26技",6,4,4,7,9
"20技","27技",1,2,6,4,4
"20技","28技",7,4,3,2,1
"20技","29技",5,1,0,1,6
"20技","30技",0,4,1,1,0
"20技","31技",1,2,0,1,1
"20技","32技",1,3,0,1,0
"20技","33技",0,1,5,1,1
"20技","34技",1,1,0,0,0
"20技","35技",0,0,0,0,0
"20技","36技",0,0,0,0,1
"20技","37技",0,0,1,1,0
"20技","38技",0,0,0,1,1
"20技","39技",0,0,0,0,1
"20技","40 - 44技",0,0,1,1,0
"20技","45 - 49技",0,1,1,1,0
"20技","50 - 54技",0,0,0,0,0
"20技","55 - 59技",0,0,0,0,0
"20技","60 - 64技",0,0,0,0,0
"20技","65 - 69技",0,0,0,0,0
"20技","70 - 74技",0,0,0,0,0
"20技","75技捞惑",0,0,0,0,0
"21技","15技",0,2,1,0,0
"21技","16技",1,3,3,2,0
"21技","17技",6,9,4,3,7
"21技","18技",31,24,26,17,13
"21技","19技",66,63,40,38,31
"21技","20技",111,75,73,63,48
"21技","21技",153,134,122,110,113
"21技","22技",101,89,86,68,53
"21技","23技",42,43,30,34,35
"21技","24技",35,32,19,19,22
"21技","25技",19,24,20,9,13
"21技","26技",17,10,10,5,7
"21技","27技",10,8,12,8,8
"21技","28技",8,5,7,5,4
"21技","29技",6,4,4,5,7
"21技","30技",6,3,4,4,3
"21技","31技",7,2,1,1,2
"21技","32技",1,2,2,3,1
"21技","33技",1,1,3,0,4
"21技","34技",2,1,4,2,1
"21技","35技",0,0,2,2,1
"21技","36技",0,1,1,1,0
"21技","37技",2,1,0,1,2
"21技","38技",0,3,1,0,0
"21技","39技",0,1,0,0,0
"21技","40 - 44技",2,2,1,2,0
"21技","45 - 49技",0,0,0,0,0
"21技","50 - 54技",0,0,0,0,0
"21技","55 - 59技",0,0,0,0,0
"21技","60 - 64技",0,0,0,0,0
"21技","65 - 69技",0,0,0,0,0
"21技","70 - 74技",0,0,0,0,0
"21技","75技捞惑",0,0,0,0,0
"22技","15技",1,0,0,0,0
"22技","16技",4,1,1,1,0
